"Datum";"kWh";"kW";"Status";
"25.11.2025 00:00";0,031;0,124;"VALID";
"25.11.2025 00:15";0,028;0,112;"VALID";
"25.11.2025 00:30";0,034;0,136;"VALID";
"25.11.2025 00:45";0,032;0,128;"VALID";
"25.11.2025 01:00";0,029;0,116;"VALID";
"25.11.2025 01:15";0,024;0,096;"VALID";
"25.11.2025 01:30";0,03;0,12;"VALID";
"25.11.2025 01:45";0,031;0,124;"VALID";
"25.11.2025 02:00";0,03;0,12;"VALID";
"25.11.2025 02:15";0,023;0,092;"VALID";
"25.11.2025 02:30";0,03;0,12;"VALID";
"25.11.2025 02:45";0,031;0,124;"VALID";
"25.11.2025 03:00";0,029;0,116;"VALID";
"25.11.2025 03:15";0,023;0,092;"VALID";
"25.11.2025 03:30";0,027;0,108;"VALID";
"25.11.2025 03:45";0,031;0,124;"VALID";
"25.11.2025 04:00";0,03;0,12;"VALID";
"25.11.2025 04:15";0,022;0,088;"VALID";
"25.11.2025 04:30";0,026;0,104;"VALID";
"25.11.2025 04:45";0,031;0,124;"VALID";
"25.11.2025 05:00";0,03;0,12;"VALID";
"25.11.2025 05:15";0,024;0,096;"VALID";
"25.11.2025 05:30";0,025;0,1;"VALID";
"25.11.2025 05:45";0,031;0,124;"VALID";
"25.11.2025 06:00";0,03;0,12;"VALID";
"25.11.2025 06:15";0,026;0,104;"VALID";
"25.11.2025 06:30";0,026;0,104;"VALID";
"25.11.2025 06:45";0,088;0,352;"VALID";
"25.11.2025 07:00";0,059;0,236;"VALID";
"25.11.2025 07:15";0,027;0,108;"VALID";
"25.11.2025 07:30";0,022;0,088;"VALID";
"25.11.2025 07:45";0,03;0,12;"VALID";
"25.11.2025 08:00";0,03;0,12;"VALID";
"25.11.2025 08:15";0,028;0,112;"VALID";
"25.11.2025 08:30";0,034;0,136;"VALID";
"25.11.2025 08:45";0,051;0,204;"VALID";
"25.11.2025 09:00";0,04;0,16;"VALID";
"25.11.2025 09:15";0,033;0,132;"VALID";
"25.11.2025 09:30";0,022;0,088;"VALID";
"25.11.2025 09:45";0,027;0,108;"VALID";
"25.11.2025 10:00";0,03;0,12;"VALID";
"25.11.2025 10:15";0,029;0,116;"VALID";
"25.11.2025 10:30";0,023;0,092;"VALID";
"25.11.2025 10:45";0,026;0,104;"VALID";
"25.11.2025 11:00";0,03;0,12;"VALID";
"25.11.2025 11:15";0,03;0,12;"VALID";
"25.11.2025 11:30";0,023;0,092;"VALID";
"25.11.2025 11:45";0,025;0,1;"VALID";
"25.11.2025 12:00";0,03;0,12;"VALID";
"25.11.2025 12:15";0,03;0,12;"VALID";
"25.11.2025 12:30";0,058;0,232;"VALID";
"25.11.2025 12:45";0,042;0,168;"VALID";
"25.11.2025 13:00";0,035;0,14;"VALID";
"25.11.2025 13:15";0,033;0,132;"VALID";
"25.11.2025 13:30";0,033;0,132;"VALID";
"25.11.2025 13:45";0,027;0,108;"VALID";
"25.11.2025 14:00";0,022;0,088;"VALID";
"25.11.2025 14:15";0,03;0,12;"VALID";
