"Datum";"kWh";"kW";"Status";
"02.01.2024 06:30";0,031;0,124;"VALID";
"02.01.2024 06:45";0,024;0,096;"VALID";
"02.01.2024 07:00";0,031;0,124;"VALID";
"02.01.2024 07:15";0,033;0,132;"VALID";
"02.01.2024 07:30";0,031;0,124;"VALID";
"02.01.2024 07:45";0,071;0,284;"VALID";
"02.01.2024 08:00";0,033;0,132;"VALID";
"02.01.2024 08:15";0,033;0,132;"VALID";
"02.01.2024 08:30";0,032;0,128;"VALID";
"02.01.2024 08:45";0,025;0,1;"VALID";
"02.01.2024 09:00";0,028;0,112;"VALID";
"02.01.2024 09:15";0,033;0,132;"VALID";
"02.01.2024 09:30";0,032;0,128;"VALID";
"02.01.2024 09:45";0,025;0,1;"VALID";
"02.01.2024 10:00";0,029;0,116;"VALID";
"02.01.2024 10:15";0,033;0,132;"VALID";
"02.01.2024 10:30";0,031;0,124;"VALID";
"02.01.2024 10:45";0,025;0,1;"VALID";
"02.01.2024 11:00";0,029;0,116;"VALID";
"02.01.2024 11:15";0,033;0,132;"VALID";
"02.01.2024 11:30";0,032;0,128;"VALID";
"02.01.2024 11:45";0,025;0,1;"VALID";
"02.01.2024 12:00";0,029;0,116;"VALID";
"02.01.2024 12:15";0,033;0,132;"VALID";
"02.01.2024 12:30";0,031;0,124;"VALID";
"02.01.2024 12:45";0,025;0,1;"VALID";
"02.01.2024 13:00";0,029;0,116;"VALID";
"02.01.2024 13:15";0,033;0,132;"VALID";
"02.01.2024 13:30";0,031;0,124;"VALID";
"02.01.2024 13:45";0,025;0,1;"VALID";
"02.01.2024 14:00";0,029;0,116;"VALID";
"02.01.2024 14:15";0,033;0,132;"VALID";
"02.01.2024 14:30";0,031;0,124;"VALID";
"02.01.2024 14:45";0,025;0,1;"VALID";
"02.01.2024 15:00";0,03;0,12;"VALID";
"02.01.2024 15:15";0,033;0,132;"VALID";
"02.01.2024 15:30";0,032;0,128;"VALID";
"02.01.2024 15:45";0,025;0,1;"VALID";
"02.01.2024 16:00";0,03;0,12;"VALID";
"02.01.2024 16:15";0,034;0,136;"VALID";
"02.01.2024 16:30";0,031;0,124;"VALID";
"02.01.2024 16:45";0,026;0,104;"VALID";
"02.01.2024 17:00";0,031;0,124;"VALID";
"02.01.2024 17:15";0,034;0,136;"VALID";
"02.01.2024 17:30";0,038;0,152;"VALID";
"02.01.2024 17:45";0,117;0,468;"VALID";
"02.01.2024 18:00";0,086;0,344;"VALID";
"02.01.2024 18:15";0,081;0,324;"VALID";
"02.01.2024 18:30";0,08;0,32;"VALID";
"02.01.2024 18:45";0,08;0,32;"VALID";
"02.01.2024 19:00";0,075;0,3;"VALID";
"02.01.2024 19:15";0,04;0,16;"VALID";
"02.01.2024 19:30";0,041;0,164;"VALID";
"02.01.2024 19:45";0,055;0,22;"VALID";
"02.01.2024 20:00";0,067;0,268;"VALID";
"02.01.2024 20:15";0,088;0,352;"VALID";
"02.01.2024 20:30";0,085;0,34;"VALID";
"02.01.2024 20:45";0,088;0,352;"VALID";
"02.01.2024 21:00";0,085;0,34;"VALID";
"02.01.2024 21:15";0,083;0,332;"VALID";
"02.01.2024 21:30";0,08;0,32;"VALID";
"02.01.2024 21:45";0,089;0,356;"VALID";
"02.01.2024 22:00";0,087;0,348;"VALID";
"02.01.2024 22:15";0,088;0,352;"VALID";
"02.01.2024 22:30";0,081;0,324;"VALID";
"02.01.2024 22:45";0,094;0,376;"VALID";
"02.01.2024 23:00";0,09;0,36;"VALID";
"02.01.2024 23:15";0,085;0,34;"VALID";
"02.01.2024 23:30";0,082;0,328;"VALID";
"02.01.2024 23:45";0,088;0,352;"VALID";
"03.01.2024 00:00";0,089;0,356;"VALID";
"03.01.2024 00:15";0,083;0,332;"VALID";
"03.01.2024 00:30";0,084;0,336;"VALID";
"03.01.2024 00:45";0,085;0,34;"VALID";
"03.01.2024 01:00";0,043;0,172;"VALID";
"03.01.2024 01:15";0,03;0,12;"VALID";
"03.01.2024 01:30";0,027;0,108;"VALID";
"03.01.2024 01:45";0,035;0,14;"VALID";
"03.01.2024 02:00";0,034;0,136;"VALID";
"03.01.2024 02:15";0,029;0,116;"VALID";
"03.01.2024 02:30";0,026;0,104;"VALID";
"03.01.2024 02:45";0,034;0,136;"VALID";
"03.01.2024 03:00";0,037;0,148;"VALID";
"03.01.2024 03:15";0,03;0,12;"VALID";
"03.01.2024 03:30";0,026;0,104;"VALID";
"03.01.2024 03:45";0,033;0,132;"VALID";
"03.01.2024 04:00";0,032;0,128;"VALID";
"03.01.2024 04:15";0,029;0,116;"VALID";
"03.01.2024 04:30";0,025;0,1;"VALID";
"03.01.2024 04:45";0,034;0,136;"VALID";
"03.01.2024 05:00";0,032;0,128;"VALID";
"03.01.2024 05:15";0,028;0,112;"VALID";
"03.01.2024 05:30";0,026;0,104;"VALID";
"03.01.2024 05:45";0,033;0,132;"VALID";
"03.01.2024 06:00";0,032;0,128;"VALID";
"03.01.2024 06:15";0,029;0,116;"VALID";
"03.01.2024 06:30";0,025;0,1;"VALID";
"03.01.2024 06:45";0,034;0,136;"VALID";
"03.01.2024 07:00";0,032;0,128;"VALID";
"03.01.2024 07:15";0,028;0,112;"VALID";
"03.01.2024 07:30";0,026;0,104;"VALID";
"03.01.2024 07:45";0,039;0,156;"VALID";
"03.01.2024 08:00";0,069;0,276;"VALID";
"03.01.2024 08:15";0,029;0,116;"VALID";
"03.01.2024 08:30";0,025;0,1;"VALID";
"03.01.2024 08:45";0,032;0,128;"VALID";
"03.01.2024 09:00";0,033;0,132;"VALID";
"03.01.2024 09:15";0,029;0,116;"VALID";
"03.01.2024 09:30";0,025;0,1;"VALID";
"03.01.2024 09:45";0,032;0,128;"VALID";
"03.01.2024 10:00";0,032;0,128;"VALID";
"03.01.2024 10:15";0,029;0,116;"VALID";
"03.01.2024 10:30";0,025;0,1;"VALID";
"03.01.2024 10:45";0,032;0,128;"VALID";
"03.01.2024 11:00";0,033;0,132;"VALID";
"03.01.2024 11:15";0,029;0,116;"VALID";
"03.01.2024 11:30";0,026;0,104;"VALID";
"03.01.2024 11:45";0,032;0,128;"VALID";
"03.01.2024 12:00";0,032;0,128;"VALID";
"03.01.2024 12:15";0,03;0,12;"VALID";
"03.01.2024 12:30";0,025;0,1;"VALID";
"03.01.2024 12:45";0,031;0,124;"VALID";
"03.01.2024 13:00";0,033;0,132;"VALID";
"03.01.2024 13:15";0,031;0,124;"VALID";
"03.01.2024 13:30";0,025;0,1;"VALID";
"03.01.2024 13:45";0,03;0,12;"VALID";
"03.01.2024 14:00";0,033;0,132;"VALID";
"03.01.2024 14:15";0,031;0,124;"VALID";
"03.01.2024 14:30";0,025;0,1;"VALID";
"03.01.2024 14:45";0,03;0,12;"VALID";
"03.01.2024 15:00";0,033;0,132;"VALID";
"03.01.2024 15:15";0,031;0,124;"VALID";
"03.01.2024 15:30";0,026;0,104;"VALID";
"03.01.2024 15:45";0,029;0,116;"VALID";
"03.01.2024 16:00";0,033;0,132;"VALID";
"03.01.2024 16:15";0,032;0,128;"VALID";
"03.01.2024 16:30";0,025;0,1;"VALID";
"03.01.2024 16:45";0,029;0,116;"VALID";
"03.01.2024 17:00";0,034;0,136;"VALID";
"03.01.2024 17:15";0,032;0,128;"VALID";
"03.01.2024 17:30";0,025;0,1;"VALID";
"03.01.2024 17:45";0,032;0,128;"VALID";
"03.01.2024 18:00";0,074;0,296;"VALID";
"03.01.2024 18:15";0,092;0,368;"VALID";
"03.01.2024 18:30";0,092;0,368;"VALID";
"03.01.2024 18:45";0,106;0,424;"VALID";
"03.01.2024 19:00";0,084;0,336;"VALID";
"03.01.2024 19:15";0,048;0,192;"VALID";
"03.01.2024 19:30";0,044;0,176;"VALID";
"03.01.2024 19:45";0,044;0,176;"VALID";
"03.01.2024 20:00";0,057;0,228;"VALID";
"03.01.2024 20:15";0,081;0,324;"VALID";
"03.01.2024 20:30";0,121;0,484;"VALID";
"03.01.2024 20:45";0,12;0,48;"VALID";
"03.01.2024 21:00";0,118;0,472;"VALID";
"03.01.2024 21:15";0,115;0,46;"VALID";
"03.01.2024 21:30";0,104;0,416;"VALID";
"03.01.2024 21:45";0,104;0,416;"VALID";
"03.01.2024 22:00";0,124;0,496;"VALID";
"03.01.2024 22:15";0,116;0,464;"VALID";
"03.01.2024 22:30";0,124;0,496;"VALID";
"03.01.2024 22:45";0,125;0,5;"VALID";
"03.01.2024 23:00";0,121;0,484;"VALID";
"03.01.2024 23:15";0,118;0,472;"VALID";
"03.01.2024 23:30";0,115;0,46;"VALID";
"03.01.2024 23:45";0,116;0,464;"VALID";
"04.01.2024 00:00";0,063;0,252;"VALID";
"04.01.2024 00:15";0,041;0,164;"VALID";
"04.01.2024 00:30";0,03;0,12;"VALID";
"04.01.2024 00:45";0,034;0,136;"VALID";
"04.01.2024 01:00";0,036;0,144;"VALID";
"04.01.2024 01:15";0,027;0,108;"VALID";
"04.01.2024 01:30";0,03;0,12;"VALID";
"04.01.2024 01:45";0,035;0,14;"VALID";
"04.01.2024 02:00";0,033;0,132;"VALID";
"04.01.2024 02:15";0,027;0,108;"VALID";
"04.01.2024 02:30";0,029;0,116;"VALID";
"04.01.2024 02:45";0,033;0,132;"VALID";
"04.01.2024 03:00";0,033;0,132;"VALID";
"04.01.2024 03:15";0,026;0,104;"VALID";
"04.01.2024 03:30";0,028;0,112;"VALID";
"04.01.2024 03:45";0,033;0,132;"VALID";
"04.01.2024 04:00";0,032;0,128;"VALID";
"04.01.2024 04:15";0,027;0,108;"VALID";
"04.01.2024 04:30";0,027;0,108;"VALID";
"04.01.2024 04:45";0,033;0,132;"VALID";
"04.01.2024 05:00";0,033;0,132;"VALID";
"04.01.2024 05:15";0,026;0,104;"VALID";
"04.01.2024 05:30";0,028;0,112;"VALID";
"04.01.2024 05:45";0,033;0,132;"VALID";
"04.01.2024 06:00";0,033;0,132;"VALID";
"04.01.2024 06:15";0,028;0,112;"VALID";
"04.01.2024 06:30";0,027;0,108;"VALID";
"04.01.2024 06:45";0,033;0,132;"VALID";
"04.01.2024 07:00";0,033;0,132;"VALID";
"04.01.2024 07:15";0,028;0,112;"VALID";
"04.01.2024 07:30";0,027;0,108;"VALID";
"04.01.2024 07:45";0,033;0,132;"VALID";
"04.01.2024 08:00";0,033;0,132;"VALID";
"04.01.2024 08:15";0,027;0,108;"VALID";
"04.01.2024 08:30";0,027;0,108;"VALID";
"04.01.2024 08:45";0,033;0,132;"VALID";
"04.01.2024 09:00";0,032;0,128;"VALID";
"04.01.2024 09:15";0,027;0,108;"VALID";
"04.01.2024 09:30";0,047;0,188;"VALID";
"04.01.2024 09:45";0,112;0,448;"VALID";
"04.01.2024 10:00";0,112;0,448;"VALID";
"04.01.2024 10:15";0,105;0,42;"VALID";
"04.01.2024 10:30";0,103;0,412;"VALID";
"04.01.2024 10:45";0,108;0,432;"VALID";
"04.01.2024 11:00";0,109;0,436;"VALID";
"04.01.2024 11:15";0,1;0,4;"VALID";
"04.01.2024 11:30";0,101;0,404;"VALID";
"04.01.2024 11:45";0,093;0,372;"VALID";
"04.01.2024 12:00";0,089;0,356;"VALID";
"04.01.2024 12:15";0,083;0,332;"VALID";
"04.01.2024 12:30";0,069;0,276;"VALID";
"04.01.2024 12:45";0,085;0,34;"VALID";
"04.01.2024 13:00";0,089;0,356;"VALID";
"04.01.2024 13:15";0,085;0,34;"VALID";
"04.01.2024 13:30";0,08;0,32;"VALID";
"04.01.2024 13:45";0,067;0,268;"VALID";
"04.01.2024 14:00";0,053;0,212;"VALID";
"04.01.2024 14:15";0,046;0,184;"VALID";
"04.01.2024 14:30";0,358;1,432;"VALID";
"04.01.2024 14:45";0,468;1,872;"VALID";
"04.01.2024 15:00";0,574;2,296;"VALID";
"04.01.2024 15:15";0,737;2,948;"VALID";
"04.01.2024 15:30";0,221;0,884;"VALID";
"04.01.2024 15:45";0,15;0,6;"VALID";
"04.01.2024 16:00";0,152;0,608;"VALID";
"04.01.2024 16:15";0,152;0,608;"VALID";
"04.01.2024 16:30";0,202;0,808;"VALID";
"04.01.2024 16:45";0,553;2,212;"VALID";
"04.01.2024 17:00";0,148;0,592;"VALID";
"04.01.2024 17:15";0,129;0,516;"VALID";
"04.01.2024 17:30";0,11;0,44;"VALID";
"04.01.2024 17:45";0,113;0,452;"VALID";
"04.01.2024 18:00";0,13;0,52;"VALID";
"04.01.2024 18:15";0,121;0,484;"VALID";
"04.01.2024 18:30";0,121;0,484;"VALID";
"04.01.2024 18:45";0,05;0,2;"VALID";
"04.01.2024 19:00";0,068;0,272;"VALID";
"04.01.2024 19:15";0,069;0,276;"VALID";
"04.01.2024 19:30";0,069;0,276;"VALID";
"04.01.2024 19:45";0,067;0,268;"VALID";
"04.01.2024 20:00";0,069;0,276;"VALID";
"04.01.2024 20:15";0,066;0,264;"VALID";
"04.01.2024 20:30";0,069;0,276;"VALID";
"04.01.2024 20:45";0,067;0,268;"VALID";
"04.01.2024 21:00";0,068;0,272;"VALID";
"04.01.2024 21:15";0,066;0,264;"VALID";
"04.01.2024 21:30";0,078;0,312;"VALID";
"04.01.2024 21:45";0,067;0,268;"VALID";
"04.01.2024 22:00";0,088;0,352;"VALID";
"04.01.2024 22:15";0,122;0,488;"VALID";
